ID,Size Input,Optimal BST,Knuth's BST,Bisection heuristic BST
1,1,3340,3340,3340
2,2,23302,23302,23302
3,3,6923,6923,6923
4,4,46384,46384,46384
5,5,24252,24252,24252
6,6,65771,65771,67207
7,7,94083,94083,108796
8,8,103581,103581,103581
9,9,106619,106619,106619
10,10,79671,79671,79671
11,11,147298,147298,160813
12,12,181972,181972,181972
13,13,236550,236550,236550
14,14,178488,178488,181858
15,15,244328,244328,244328
16,16,291481,291481,291481
17,17,315988,315988,316936
18,18,318259,318259,336832
19,19,348856,348856,364091
20,20,332023,332023,353781
21,21,340507,340507,350742
22,22,345153,345153,345153
23,23,413540,413540,420437
24,24,467822,467822,468491
25,25,431121,431121,441972
26,26,426583,426583,429329
27,27,446852,446852,490497
28,28,490810,490810,503203
29,29,519341,519341,555602
30,30,604749,604749,615229
31,31,639334,639334,665089
32,32,570704,570704,590053
33,33,625961,625961,660494
34,34,478650,478650,505004
35,35,635640,635640,650847
36,36,578922,578922,620589
37,37,715721,715721,734289
38,38,770932,770932,805276
39,39,823164,823164,823970
40,40,829335,829335,832925
41,41,724991,724991,736945
42,42,1004157,1004157,1051179
43,43,1111909,1111909,1141833
44,44,915542,915542,952903
45,45,1124683,1124683,1139416
46,46,1144738,1144738,1171848
47,47,1042255,1042255,1061545
48,48,1056856,1056856,1085509
49,49,1061802,1061802,1090737
50,50,1189592,1189592,1216355
51,51,1034348,1034348,1044251
52,52,1324522,1324522,1360564
53,53,1236011,1236011,1252041
54,54,1119467,1119467,1157367
55,55,1326002,1326002,1365118
56,56,1510616,1510616,1596655
57,57,1131609,1131609,1158019
58,58,1243792,1243792,1284721
59,59,1556050,1556050,1594074
60,60,1300886,1300886,1320832
61,61,1503319,1503319,1542383
62,62,1457186,1457186,1487788
63,63,1275478,1275478,1338507
64,64,1433391,1433391,1478453
65,65,1533630,1533630,1571538
66,66,1604486,1604486,1630636
67,67,1757449,1757449,1831486
68,68,1699928,1699928,1727052
69,69,1489205,1489205,1550808
70,70,1855291,1855291,1921530
71,71,1700858,1700858,1770343
72,72,1788535,1788535,1838105
73,73,1836610,1836610,1904482
74,74,1765269,1765269,1823058
75,75,1836988,1836988,1906936
76,76,2045260,2045260,2138310
77,77,1905604,1905604,1939913
78,78,1987905,1987905,2056477
79,79,1976844,1976844,2065140
80,80,1889105,1889105,1983569
81,81,2039117,2039117,2096464
82,82,2083754,2083754,2164507
83,83,2386583,2386583,2475916
84,84,1975019,1975019,2060539
85,85,2055027,2055027,2137190
86,86,2035190,2035190,2112447
87,87,2045180,2045180,2137410
88,88,1983412,1983412,2089720
89,89,2306799,2306799,2331785
90,90,2148091,2148091,2191646
91,91,2589679,2589679,2678061
92,92,2483276,2483276,2588348
93,93,2289239,2289239,2422023
94,94,2153773,2153773,2251969
95,95,2453803,2453803,2532437
96,96,2272401,2272401,2357836
97,97,2558302,2558302,2664832
98,98,2325102,2325102,2397121
99,99,2397739,2397739,2479256
100,100,2512988,2512988,2607650
