ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
1,1,7263,7263,7263
2,2,21042,21042,21042
3,3,33292,33292,33292
4,4,27283,27283,29840
5,5,38074,38074,45670
6,6,68607,68607,78522
7,7,70527,70527,79119
8,8,117051,117051,131669
9,9,94172,104909,108827
10,10,156110,156110,159330
11,11,160552,160552,189151
12,12,163049,167669,174557
13,13,198031,211002,216356
14,14,300394,302941,303614
15,15,179068,180410,190957
16,16,227529,249338,258321
17,17,341842,354002,371781
18,18,252964,272367,305220
19,19,292557,297075,357700
20,20,263801,272345,291726
21,21,394956,398570,420536
22,22,365211,394704,421468
23,23,387779,396817,413271
24,24,388213,398950,438958
25,25,344251,375461,375940
26,26,382277,392153,450177
27,27,504747,520808,572397
28,28,559180,586091,615016
29,29,645068,660060,693693
30,30,523699,544622,606113
31,31,554384,564219,594529
32,32,663306,667125,715991
33,33,567213,585661,633597
34,34,836175,845765,877884
35,35,538557,561755,634525
36,36,658037,665290,774508
37,37,747247,770781,819849
38,38,650309,682817,701903
39,39,718452,729371,848954
40,40,890190,925394,975440
41,41,876214,893132,921650
42,42,770957,811506,878653
43,43,866921,927741,982116
44,44,1046068,1091829,1140708
45,45,907837,943650,1068952
46,46,900962,917520,1030037
47,47,897632,932124,1020281
48,48,1026582,1044550,1130232
49,49,958231,995274,1075939
50,50,1078573,1168514,1141627
51,51,935335,968148,1051976
52,52,1084675,1122067,1179690
53,53,1273695,1329089,1453204
54,54,1232588,1252018,1341260
55,55,1129959,1204114,1240581
56,56,1337756,1416530,1440801
57,57,1404615,1435696,1607372
58,58,1227909,1253828,1324141
59,59,1265645,1323355,1414548
60,60,1407998,1424899,1545048
61,61,1499880,1529040,1688477
62,62,1575173,1644159,1695154
63,63,1369221,1407479,1564904
64,64,1568178,1606902,1718424
65,65,1581044,1621011,1737261
66,66,1545491,1576387,1703884
67,67,1684789,1753848,1846873
68,68,1673917,1769571,1828092
69,69,1631541,1693662,1929662
70,70,1804576,1899040,1948051
71,71,2037196,2072512,2207565
72,72,1737886,1820586,1926605
73,73,1895210,1993682,2107428
