ID,Size Input,Optimal BST,Knuth's BST,Bisection heuristic BST
1,10,469985,469985,485753
2,10,469985,469985,485753
3,10,469985,469985,485753
4,10,469985,469985,485753
5,10,469985,469985,485753
6,10,469985,469985,485753
7,10,469985,469985,485753
8,10,469985,469985,485753
9,10,469985,469985,485753
10,10,469985,469985,485753
11,10,469985,469985,485753
12,10,469985,469985,485753
13,10,469985,469985,485753
14,10,469985,469985,485753
15,10,469985,469985,485753
16,10,469985,469985,485753
17,10,469985,469985,485753
18,10,469985,469985,485753
19,10,469985,469985,485753
20,10,469985,469985,485753
21,100,10031746,10031746,9314186
22,100,10031746,10031746,9314186
23,100,10031746,10031746,9314186
24,100,10031746,10031746,9314186
25,100,10031746,10031746,9314186
26,100,10031746,10031746,9314186
27,100,9750751,9750751,9830259
28,100,9750751,9750751,9830259
29,100,9750751,9750751,9830259
30,100,9750751,9750751,9830259
31,100,9750751,9750751,9830259
32,100,9750751,9750751,9830259
33,100,9750751,9750751,9830259
34,100,9750751,9750751,9830259
35,100,9750751,9750751,9830259
36,100,10533660,10533660,10563051
37,100,10533660,10533660,10563051
38,100,10533660,10533660,10563051
39,100,10533660,10533660,10563051
40,100,10533660,10533660,10563051
