ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
1,1,132,132,132
2,2,3214,3214,3214
3,3,12279,12279,14811
4,4,24737,24737,24737
5,5,40506,40506,44687
6,6,30452,30452,34693
7,7,51684,51684,61988
8,8,117960,119076,117960
9,9,84254,84254,97463
10,10,112835,112835,119440
11,11,79745,79745,102542
12,12,90887,91116,99738
13,13,152453,152453,169992
14,14,147172,147172,160888
15,15,190633,193374,202182
16,16,212260,213184,227627
17,17,182229,183252,206448
18,18,272533,275081,300329
19,19,302827,306544,325797
20,20,312969,313431,335572
21,21,335037,337402,351379
22,22,410285,413703,445709
23,23,313567,317242,347373
24,24,412279,412562,442266
25,25,398507,398877,429748
26,26,336836,338952,362514
27,27,522712,529516,570402
28,28,430795,432461,464778
29,29,580322,584111,616004
30,30,550315,552618,593317
31,31,642548,648443,670137
32,32,634908,640185,668178
33,33,552899,558295,590076
34,34,631629,637124,677767
35,35,832393,838181,872124
36,36,608824,610475,651712
37,37,708360,713472,774127
38,38,879662,885945,907369
39,39,891001,895123,942059
40,40,648833,650369,710147
41,41,777788,781310,844811
42,42,828612,832370,885477
43,43,767416,770526,842211
44,44,887780,893068,959335
45,45,958951,963136,1029507
46,46,894821,898057,956611
47,47,947899,953611,1014165
48,48,1028604,1032226,1082005
49,49,1007750,1013810,1075658
50,50,989513,991772,1059895
51,51,1030711,1032208,1094967
52,52,1176578,1180956,1259568
53,53,1094558,1098867,1193735
54,54,1273258,1277079,1350924
55,55,1249637,1253494,1341430
56,56,1156691,1160985,1239225
57,57,1417964,1424580,1487299
58,58,1416969,1424855,1480354
59,59,1304688,1307991,1392905
60,60,1224440,1227093,1299791
61,61,1487351,1494724,1545768
62,62,1664994,1671253,1720912
63,63,1358637,1364409,1436093
64,64,1451676,1462131,1521237
65,65,1498913,1502568,1571588
66,66,1234618,1242836,1324255
67,67,1611755,1622455,1703075
68,68,1768812,1777005,1846899
69,69,1586743,1593749,1671061
70,70,1727936,1741183,1816318
71,71,1705453,1718624,1795507
72,72,1665413,1674664,1766810
73,73,1805373,1812021,1898529
74,74,1849318,1857359,1941467
75,75,1864902,1874262,1966190
76,76,1751906,1758621,1869271
77,77,1954763,1964192,2065208
78,78,1773567,1780687,1899932
79,79,1964454,1972965,2079428
80,80,1965763,1975404,2079181
81,81,2018930,2029575,2108254
82,82,1984730,1991551,2124304
83,83,2151130,2156318,2273295
84,84,2299314,2305795,2445731
85,85,2220254,2231330,2338458
86,86,2252404,2260548,2377280
87,87,2233053,2243063,2396143
88,88,2398917,2409862,2537866
89,89,2551973,2565399,2690633
90,90,2394872,2403160,2534432
91,91,2539299,2551805,2695587
92,92,2498464,2514096,2642066
93,93,2356233,2365545,2510218
94,94,2572456,2584903,2725967
95,95,2781223,2792915,2943207
96,96,2651737,2661188,2804875
97,97,2696353,2706643,2858329
98,98,2627956,2637154,2789462
99,99,2805514,2817936,2929437
100,100,2830453,2843458,2978053
101,101,2663186,2675904,2815324
102,102,2770273,2782574,2929264
103,103,2961095,2973590,3116477
104,104,2665167,2676876,2815973
105,105,2923321,2934711,3096303
106,106,2876791,2887740,3011408
107,107,2864264,2876664,3034493
108,108,2920986,2937181,3071712
109,109,3327002,3338649,3476889
110,110,3178856,3192187,3348384
111,111,3049076,3062520,3227592
112,112,2978225,2990692,3122324
113,113,3387908,3397949,3540739
114,114,2959441,2969596,3129464
115,115,3334880,3344705,3518834
116,116,3139645,3148954,3308432
117,117,3481085,3497878,3636127
118,118,3028065,3041548,3172461
119,119,3266157,3276014,3443410
120,120,3515447,3532165,3680452
