ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
1,1,1144,1144,1144
2,2,19812,19812,19812
3,3,17905,17905,17905
4,4,22216,22216,22216
5,5,30701,30701,30701
6,6,18984,18984,18984
7,7,114580,114580,114580
8,8,153993,153993,153993
9,9,111825,111825,111825
10,10,1740,1740,1740
11,11,15345,15345,15345
12,12,10064,10064,10064
13,13,189379,189379,189379
14,14,184050,184050,184050
15,15,20237,20237,20237
16,16,481842,481842,481842
17,17,437249,437249,437249
18,18,193728,193728,193728
19,19,55269,55269,55269
20,20,131942,131942,131942
21,21,611934,611934,611934
22,22,574644,574644,574644
23,23,12460,12460,12460
24,24,56494,56494,56494
25,25,201267,201267,201267
26,26,730184,730184,730184
27,27,258003,258003,258003
28,28,946656,946656,946656
29,29,295477,295477,295477
30,30,965340,965340,965340
31,31,1055736,1055736,1055736
32,32,518940,518940,518940
33,33,1148445,1148445,1148445
34,34,1028265,1028265,1028265
35,35,814266,814266,814266
36,36,685449,685449,685449
37,37,710820,710820,710820
38,38,1252746,1252746,1252746
39,39,1281126,1281126,1281126
40,40,912987,912987,912987
41,41,1022679,1022679,1022679
42,42,1918215,1918215,1918215
43,43,237180,237180,237180
44,44,1236825,1236825,1236825
45,45,204054,204054,204054
46,46,595680,595680,595680
47,47,1049850,1049850,1049850
48,48,247863,247863,247863
49,49,915057,915057,915057
50,50,547479,547479,547479
51,51,444963,444963,444963
52,52,2472480,2472480,2472480
53,53,2277486,2277486,2277486
54,54,104931,104931,104931
55,55,2063607,2063607,2063607
56,56,1283121,1283121,1283121
57,57,351690,351690,351690
58,58,379755,379755,379755
59,59,382239,382239,382239
60,60,2846988,2846988,2846988
61,61,1529550,1529550,1529550
62,62,1973475,1973475,1973475
63,63,779067,779067,779067
64,64,472976,472976,472976
65,65,3220690,3220690,3220690
66,66,2982582,2982582,2982582
67,67,361215,361215,361215
68,68,1719124,1719124,1719124
69,69,403293,403293,403293
70,70,919820,919820,919820
71,71,1261819,1261819,1261819
72,72,2028288,2028288,2028288
