ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
1,1,9733,9733,9733
2,2,18360,18360,22956
3,3,27245,27245,27245
4,4,313663,313663,828510
5,5,64449,64449,96736
6,6,214437,214437,549278
7,7,447815,452660,452660
8,8,443831,443831,775654
9,9,1093319,1093319,2497266
10,10,455571,460780,756770
11,11,485626,485749,1324701
12,12,999499,999721,2092308
13,13,939042,939042,1870315
14,14,1368941,1373798,3336721
15,15,1480344,1517764,1521060
16,16,1305794,1305794,2083721
17,17,1456889,1456889,2558767
18,18,1263906,1264857,2234989
19,19,1815872,1907327,3674679
20,20,2374793,2432149,4573461
21,21,2023410,2023410,4271036
22,22,3513520,4442601,6255699
23,23,2779569,2807195,4653983
24,24,2958447,2969094,5271217
25,25,2711713,2713438,5591251
26,26,3012510,3016023,4848036
27,27,2945809,2951005,5886304
28,28,4304894,4434117,7900096
29,29,4286266,4880919,7843705
30,30,5086710,5311802,10303790
31,31,4246690,4246690,4514249
32,32,4146220,4146220,4627431
33,33,3509239,3682447,6271105
34,34,6088731,6378052,8964412
35,35,6031229,6706862,10115573
36,36,4551016,4551064,8319417
37,37,5724961,5957628,9398328
38,38,5603610,6189136,9680529
39,39,4569149,4569149,7694638
40,40,4871328,5433887,8775802
41,41,6096017,6591627,11008928
42,42,6619175,6773372,11558558
43,43,5848491,6201193,10154482
44,44,4552951,5409995,8258973
45,45,6022141,6023808,10386350
46,46,6626533,6635943,11487928
47,47,8637799,8650016,14420770
48,48,7505602,7565403,10911757
49,49,7591873,7591873,13178848
50,50,6499630,6808847,10064532
51,51,5731648,5967617,10206410
52,52,9264291,9529645,15531653
53,53,9238144,10855845,14582740
54,54,6287114,7016398,10094931
55,55,9719870,9895037,14922939
56,56,6383021,6876081,11716700
57,57,9435985,10003279,16334256
58,58,8550273,8856818,14814900
59,59,9246377,9523339,14327185
60,60,10391133,11184843,18433629
61,61,10260938,10482383,17857024
62,62,13047149,13770314,23715306
63,63,9938466,10509481,10876848
64,64,11285349,12222879,12802988
65,65,9346035,9787867,15310035
66,66,11306010,11457807,16291306
67,67,13471837,13478043,21056036
68,68,12407710,12417290,19647846
69,69,10984284,11505079,17184411
70,70,9901489,9987396,16537599
71,71,11566803,11647558,17876878
72,72,12180847,13558234,19294083
73,73,12668629,14832266,21480198
74,74,11258992,11300414,19290212
75,75,13215322,13227701,22182425
76,76,17828071,18785150,28754652
77,77,10523316,10963661,17497774
78,78,13953340,15239532,22547737
79,79,13867098,13867098,21844016
80,80,12496574,13161378,19085574
81,81,13162720,14314853,21448770
82,82,15354455,16677425,23849465
83,83,13737331,14723018,23073338
84,84,17141066,17702283,26181539
85,85,12754531,13770837,21731030
86,86,15899345,16164260,25210734
87,87,15365427,15580406,23559792
88,88,15547708,15559398,24336496
89,89,20172485,20805410,31335938
90,90,18617689,19397096,28880139
91,91,18275937,19758207,29374436
92,92,18981334,20299099,29300474
93,93,18397953,19817110,30217397
94,94,20051533,20221377,31484990
95,95,18892813,19730286,26399034
96,96,18387133,18773326,27267710
97,97,22327992,22685010,33240476
98,98,20535640,21097915,32108573
99,99,17792440,18613782,27581430
100,100,17718636,19134408,27761533
101,101,17580880,19405925,27171810
102,102,20775085,21182690,32729552
103,103,19918469,20529966,29785270
104,104,20080037,20452056,32138558
105,105,23093712,24411045,37404142
106,106,19441149,21295834,31640038
107,107,19618042,20853304,31169176
108,108,19892874,21190405,32060335
109,109,20860351,22583380,31764509
110,110,20929013,21283175,33420068
111,111,28749386,30115804,42166106
112,112,23450320,25802876,36756513
113,113,27565370,27890370,41378074
114,114,20319800,20915774,32635162
115,115,21832314,23680365,34388411
116,116,22036493,23146591,34724608
117,117,24076035,25651604,36739011
118,118,23404105,24121993,36515434
119,119,21974576,22606104,34969511
120,120,28657964,31318752,44600060
121,121,23314031,23676267,37100442
122,122,23278772,24168892,34482795
123,123,24291905,24679653,37230335
124,124,24769603,26495651,41619404
125,125,26681424,26819508,43620058
126,126,29666656,30497170,50349036
127,127,27037164,28228773,29579411
128,128,23128108,24791398,27977272
129,129,26897295,28554043,38188540
130,130,27549103,29743169,38429355
131,131,27493216,28659130,42922909
132,132,28504178,29432295,40861630
133,133,30570203,33425686,45559676
134,134,29770717,30591756,44930641
135,135,28748697,30310859,41953227
136,136,31900099,33452423,48955735
137,137,28028923,29776615,44781334
138,138,31440896,33134899,47467984
139,139,29164459,30685239,42974426
140,140,28713533,30658607,40752177
141,141,29505658,32096290,44020918
142,142,31173268,32032637,47851809
143,143,33988511,35543960,49584075
144,144,26454359,27211174,39961943
145,145,24962124,25437427,38021959
146,146,31187965,32889008,48495307
147,147,30594867,31382118,46989411
148,148,28200111,28473670,43640311
149,149,30867270,32079237,48790968
150,150,34953065,37334484,55635708
151,151,29359667,30760430,44184346
152,152,35778189,37125350,54694137
153,153,36051913,37563338,52855608
154,154,32813910,33919710,49632426
155,155,33640031,33977238,52372344
156,156,39166705,41771930,57260928
157,157,33552037,35707615,51467048
158,158,34894634,36861425,54125016
159,159,35693068,37411986,52731685
160,160,43792981,46197331,60846065
161,161,38240366,38820054,58668987
162,162,36719673,38545806,56345807
163,163,40435582,42743183,62087361
164,164,42285173,45271637,64966983
165,165,42562371,43542601,64036335
166,166,35971797,37017627,55032789
167,167,41475433,43423024,63555410
168,168,37776855,40062682,56279307
169,169,44247270,45224253,64867613
170,170,36724128,40037743,55379749
171,171,40971257,43631033,62634588
172,172,29251491,31046695,46415251
173,173,42546613,44864077,63145881
174,174,40396191,42015269,62153982
175,175,33584095,35365601,50222337
176,176,40452482,42575023,62307470
177,177,47737675,49787123,70403074
178,178,44429115,45393746,65817412
179,179,47451380,50598876,70284731
180,180,47821796,50261301,69849472
181,181,44031621,46479249,65992800
182,182,41572725,44676282,60877159
183,183,47371843,49427829,70591616
184,184,40728882,42147569,61272699
185,185,41021089,42354540,62754009
186,186,41222406,43029025,61513904
187,187,43600366,45642740,65417185
188,188,46873126,49061198,73420227
189,189,46700208,47592284,71387196
190,190,48102617,49942181,73494377
191,191,43924756,45440225,61691079
192,192,44564450,46249138,59388874
193,193,45724476,48079681,66953265
194,194,50095258,51095317,72516087
195,195,45478223,45793299,67318620
196,196,47449496,48917609,69204340
197,197,45293579,47006890,65638685
198,198,49009896,51611577,72629176
199,199,52497063,54247671,78149367
200,200,44891176,45674052,66750354
201,201,45951385,47382387,68103698
202,202,42496235,44528201,63831193
203,203,50792904,53359837,76032095
204,204,43691541,46605165,66547232
205,205,45521062,47882571,68240401
206,206,52032023,54133202,77060849
207,207,51093569,52225804,74307716
208,208,56723798,59759023,84083934
209,209,47719611,52041005,70450035
210,210,53475787,55197480,77868883
211,211,49457810,52726897,72962378
212,212,49736844,52156845,74903601
213,213,57189809,58063093,84419377
214,214,49919214,51901940,77110504
215,215,57908509,60869605,85243729
216,216,57892317,61669622,83618228
217,217,49857591,52309708,72380175
218,218,59099783,60452203,84820652
219,219,55205762,57864993,80776131
220,220,50457200,53970596,76322708
221,221,54692561,56520966,80090075
222,222,55368531,56967614,82824329
223,223,51568856,54292130,73372989
224,224,59468794,61674369,84858623
225,225,47432960,48096146,71580726
226,226,56264517,60404345,84873135
227,227,56897662,59644370,84538557
228,228,56630617,59768652,83999621
229,229,57045774,58999643,83950306
230,230,61106429,64005975,89418285
231,231,60595171,62839471,87961250
232,232,59509325,62709050,88615878
233,233,59739695,65131533,88738878
234,234,60437718,65923538,89046197
235,235,56786757,58938989,82271248
236,236,61425586,64018067,88031869
237,237,53601949,56968036,77821928
238,238,60234664,64323686,85924230
239,239,57851861,59489863,87037720
240,240,68111379,70075563,98584914
241,241,71434063,73649771,103315770
242,242,62217243,64595636,92253829
243,243,55183661,57070151,79751304
244,244,75199350,78141600,110252341
245,245,68233799,69100140,99559360
246,246,60626463,65347543,91130119
247,247,70068651,71883653,102137351
248,248,69852776,74586289,105348435
249,249,69997512,71555411,102413879
250,250,64054300,67181833,95658358
251,251,62579176,66122873,93367551
252,252,61296877,65164697,96925699
253,253,65169508,67146295,98186950
254,254,69996057,74040860,111791094
255,255,56011322,60915312,62690869
256,256,66887907,72621542,71479642
257,257,60961979,64003399,84206765
258,258,72813852,79312299,96098791
259,259,73355947,78023425,105675231
260,260,75720366,80315586,104754775
261,261,77626911,80017897,108873399
262,262,72282081,76771131,99924430
263,263,73437827,76663956,104952626
264,264,71232059,73902037,104171467
265,265,75694474,80883032,108589069
266,266,61155619,63121505,86352404
267,267,69889401,73461567,101479786
268,268,74004820,76302758,104989820
269,269,76990582,79347910,106618851
270,270,79966000,84622291,112768439
271,271,68980518,73793543,97358597
272,272,69305315,70729544,98457129
273,273,71077588,73915959,103804277
274,274,67447413,71500012,97787839
275,275,78811048,83519887,114454144
276,276,77285142,80944666,110198759
277,277,76272284,79181262,110932256
278,278,84651856,87294749,122577552
279,279,81008288,85527704,117710763
280,280,65006949,67840917,94409606
281,281,78792543,82928602,113366832
282,282,82278096,86600131,115396611
283,283,76061278,78529079,112606804
284,284,76653500,81150339,110804098
285,285,77493935,80750245,112966435
286,286,74532340,76816981,106753047
287,287,86638159,90937001,122676537
288,288,79626083,83733614,110857800
289,289,83081701,88199420,122214515
290,290,72955584,76867643,104555620
291,291,81546650,84929475,120083874
292,292,83068917,87009289,120207069
293,293,83859459,87103498,120252461
294,294,83817845,88874909,120033098
295,295,83944562,87978893,119051062
296,296,81368503,86798194,120066306
297,297,74757177,78128786,108735798
298,298,87250219,90516012,128425758
299,299,85908036,87986160,123197956
300,300,84220421,86846995,119314606
301,301,89041675,93325400,129088385
302,302,75804305,78688014,109165115
303,303,74479311,79594900,110130576
304,304,93091285,97916822,131759919
305,305,84376445,87397791,122842049
306,306,83490069,87602566,117478846
307,307,77196587,82894435,112516982
308,308,87969611,91723191,127222686
309,309,86552538,90684700,122869065
310,310,83974645,89665461,122255723
311,311,91105121,94006345,130430499
312,312,89913485,92278692,132383180
313,313,81385069,85630352,121239962
314,314,89344945,92867987,124741824
315,315,85118945,89284612,119453162
316,316,81281730,86130684,120120221
317,317,85003454,88885424,122905292
318,318,92468046,95357304,133506446
319,319,82399256,86480882,114996648
320,320,87882718,90784019,121314760
321,321,92600388,95130426,132773181
322,322,80733055,84221812,113815360
323,323,87574906,90553167,128229564
324,324,104797119,110165606,148693833
325,325,90118715,96124606,131642417
326,326,87498946,91972172,123367989
327,327,97253164,102585305,139578202
328,328,92303984,96636753,130865250
329,329,100142252,108024649,139768138
330,330,91539137,96085136,131046597
331,331,89073438,94584761,127961593
332,332,91445410,95113144,130735535
333,333,105174301,110005726,148848523
334,334,89554672,93245606,127620486
335,335,94526503,98542002,135174941
336,336,100526770,104155116,141240063
337,337,93011798,97387242,132146023
338,338,100345056,104258708,140610511
339,339,100723817,107737248,143115259
340,340,97020501,100615917,137343945
341,341,95733405,99468578,136433534
342,342,88119239,93372350,127954468
343,343,100105799,103010375,145780615
344,344,104695103,108656953,149811704
345,345,88797321,93159462,133017089
346,346,94408545,98378459,135439612
347,347,87789477,91298427,129967651
348,348,97234217,100817694,138190038
349,349,99081920,105198446,142639014
350,350,102277882,108978018,146458001
351,351,101909140,105733004,140942106
352,352,97739268,101198818,136089277
353,353,99810426,103448737,141874257
354,354,96696842,100385267,139290851
355,355,96144566,100148936,135127921
356,356,108412671,114637618,153088411
357,357,115788962,118818857,163230543
358,358,93749688,98705688,131352763
359,359,92981207,98018749,133485119
360,360,98756938,103291156,141208034
361,361,104478639,112117564,151055183
362,362,88735708,92104381,126654919
363,363,100699853,103840305,143575783
364,364,104385022,109524285,151405999
365,365,105271548,107799437,148069082
366,366,107051253,109260928,150273211
367,367,102202117,105550615,150064338
368,368,112768507,115231040,157300397
369,369,99453838,103434669,142295300
370,370,109012275,113388654,157376271
371,371,104021658,111244627,151118318
372,372,111446676,115240965,160340931
373,373,118586664,125766562,167698062
374,374,106602804,109289322,148479318
375,375,106682128,111351282,151377734
376,376,100553453,105193536,144569991
377,377,105156849,108251184,151622093
378,378,111490818,114851074,161084731
379,379,105822733,112273488,150219030
380,380,103577404,106136177,153131572
381,381,113304106,115901828,160770139
382,382,95845833,98824952,141967608
383,383,111667692,115824926,150427645
384,384,103466216,107850564,135313266
385,385,123602951,130039061,169192943
386,386,109657260,116241782,148276134
387,387,102480543,106656443,145690042
388,388,109996902,113576160,155312263
389,389,112020638,119440218,160236585
390,390,115962373,121338064,162123427
391,391,117458656,121054120,161458798
392,392,122625086,130987658,174356365
393,393,115556092,121280301,162211598
394,394,112580238,116652032,160518422
395,395,109807305,112677844,156488943
396,396,114159498,119228875,162655295
397,397,121510757,126175360,170088813
398,398,120704331,123403340,170171646
399,399,115730812,118519406,162642394
400,400,112689288,117868228,157239233
401,401,129855095,136581788,180145677
402,402,122424011,127119068,172415190
403,403,114666945,118471368,165157737
404,404,122448920,129786678,174538516
405,405,130956462,136701377,183529988
406,406,119450408,123418375,172612594
407,407,116252094,118459232,164171636
408,408,123266410,127293609,174108170
409,409,112478433,116749565,158249326
410,410,116055617,119921069,164038655
411,411,122688364,127522248,179229681
412,412,125506269,128980551,175885379
413,413,127972673,134587073,180722118
414,414,128183500,132672272,180090880
415,415,128638540,133814074,179440124
416,416,127047562,131193754,175132739
417,417,120186694,126006430,170831324
418,418,125147988,129890519,174996766
419,419,121628893,123984355,174017064
420,420,131600107,135820083,186120208
421,421,129047771,135941071,181156229
422,422,131563448,135682195,186167543
423,423,132640426,137366903,183850060
424,424,127638536,130633563,176923793
425,425,134581551,139328633,186877738
426,426,127523594,131752343,180133576
427,427,121170021,126830875,176515358
428,428,130014399,131989730,183269840
429,429,141443202,145964665,194521739
430,430,123638997,128534296,174781113
431,431,133040137,139550399,186274069
432,432,135831018,143689553,189841441
433,433,135581754,141434459,188186212
434,434,127661035,134946825,179251886
435,435,126400644,131430166,173668188
436,436,136658877,143072599,192626283
437,437,135030215,138107618,183833023
438,438,142273005,148189420,197694119
439,439,132019706,135756683,186066931
440,440,126545719,130870890,176890248
441,441,132326723,135871165,184617796
442,442,145493710,155542386,200221277
443,443,131141045,138189731,184757593
444,444,140215693,145590063,196990301
445,445,130768181,138290960,183616272
446,446,131627651,135620751,187086087
447,447,147522097,151865977,202007317
448,448,140384800,146398193,194811334
449,449,135610883,141529908,188282410
450,450,148213800,155947843,206338751
451,451,134102506,140626400,186134733
452,452,143338858,146784248,199838940
453,453,128346992,134698628,180545604
454,454,128290156,129412551,181577648
455,455,138052833,145816102,191755421
456,456,139141685,142770209,194039239
457,457,152154297,160651613,210517827
458,458,141084679,145787803,197416755
459,459,142598607,154258160,200412687
460,460,122012602,131161458,175475565
461,461,140401426,146476809,195643621
462,462,135509781,142168379,191642347
463,463,139514629,147672199,194391023
464,464,162941915,171191833,227477820
465,465,136391953,144166569,193052865
466,466,143425554,150769680,200447362
467,467,150191282,158661412,209811842
468,468,150358862,156415717,210136671
469,469,146387408,151242148,204410721
470,470,148742675,153197825,209827019
471,471,129877665,137582563,182867598
472,472,153652439,159461729,214605753
473,473,152187383,158739107,207098235
474,474,149028735,154592005,205939764
475,475,136241528,143978717,191755302
476,476,151389751,154663610,212600574
477,477,145936647,151907035,202600617
478,478,147147157,155648286,204058002
479,479,133192492,139196624,185507886
480,480,142039641,149670146,197544997
481,481,153825375,161545227,212002245
482,482,153124231,157454043,214719885
483,483,137341068,143409967,193988874
484,484,146504768,151089174,204215742
485,485,145632577,153624272,206455773
486,486,140263695,146411932,196001900
487,487,156376616,164115006,215169578
488,488,140839927,145180527,199862720
489,489,146525849,153216780,206738429
490,490,159988711,167368448,225782154
491,491,149424225,156740594,208570200
492,492,144566267,151035544,208944861
493,493,145176807,150641393,201923141
494,494,143899306,151652955,200395006
495,495,146687030,154955141,201458921
496,496,151935244,159717200,213482801
497,497,155512270,162268188,218658000
498,498,147214083,154003823,206850305
499,499,148636291,157426189,207550634
500,500,158127441,163483548,224269150
