ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
1,1,1088,1088,1088
2,2,3935,3935,6070
3,3,25864,25864,27961
4,4,46883,46883,53548
5,5,46867,46867,57365
6,6,89884,89884,101718
7,7,103822,103822,105784
8,8,115904,115904,131611
9,9,106376,108166,125787
10,10,168489,168489,181858
11,11,122859,126431,143519
12,12,171487,171971,200142
13,13,184037,184037,207855
14,14,169537,169537,181571
15,15,263350,265156,277867
16,16,265364,266760,289554
17,17,216664,216664,244336
18,18,275554,276942,311500
19,19,294071,294693,330304
20,20,301087,301621,347145
21,21,408131,411973,443147
22,22,449998,450673,490835
23,23,456174,458117,482163
24,24,552711,554801,578892
25,25,424413,424632,461736
26,26,468359,469090,511279
27,27,508819,509430,544019
28,28,512820,513712,550470
29,29,661433,665316,712327
30,30,610867,616698,648473
31,31,532824,533481,579104
32,32,639594,646684,691273
33,33,700339,701420,737552
34,34,728412,731434,786538
35,35,591959,595123,649160
36,36,843272,846018,901579
37,37,721971,723815,797801
38,38,834519,838187,906715
39,39,812249,818066,873091
40,40,800091,804291,874509
41,41,914868,917319,990040
42,42,980548,984209,1050096
43,43,933493,938149,995549
44,44,1066200,1070255,1149435
45,45,1090383,1095654,1184343
46,46,1130258,1133990,1214116
47,47,982245,984921,1052627
48,48,1094216,1101691,1170878
49,49,1076245,1081098,1167344
50,50,1334845,1339286,1409710
51,51,1225276,1228555,1314103
52,52,1136010,1145541,1235541
53,53,1118413,1125654,1211134
54,54,1382322,1388089,1457375
55,55,1376651,1381362,1445660
56,56,1362408,1367948,1438722
57,57,1558844,1567954,1632502
58,58,1522466,1529064,1600761
59,59,1285607,1292951,1366449
60,60,1349040,1353929,1447589
61,61,1341140,1345102,1417792
62,62,1514547,1520457,1608886
63,63,1558961,1565875,1655194
64,64,1698430,1704304,1777018
65,65,1307958,1314395,1404295
66,66,1643522,1654820,1738521
67,67,1566139,1573740,1661315
68,68,1503609,1514856,1625494
69,69,1692555,1698904,1809642
70,70,1693031,1698874,1815812
71,71,1659203,1664672,1760052
72,72,1665194,1672988,1779501
73,73,1883985,1895118,1987224
74,74,1857613,1867884,1970542
75,75,2238587,2248870,2347067
76,76,2069504,2079171,2157814
77,77,1784123,1791149,1935445
78,78,1977338,1982926,2113017
79,79,1995053,2007667,2147051
80,80,1984270,1995032,2141047
81,81,2132241,2141794,2249704
82,82,2196508,2206324,2345202
83,83,2214765,2227489,2346633
84,84,1842511,1850353,2000014
85,85,2200162,2211103,2355767
86,86,2261749,2271973,2422966
87,87,2425834,2436358,2558417
88,88,2308187,2317357,2489771
89,89,2380341,2392344,2549542
90,90,2482747,2494742,2640798
91,91,2704900,2721163,2874241
92,92,2552168,2562665,2710604
93,93,2685670,2697768,2832747
94,94,2606477,2616583,2780285
95,95,2663556,2674374,2808418
96,96,2634370,2645442,2807563
97,97,2712134,2723020,2871801
98,98,2742159,2754026,2908474
99,99,2663804,2672940,2818323
100,100,2762741,2777317,2919047
101,101,2818944,2829336,2999784
102,102,2698148,2709668,2865419
103,103,2870297,2880188,3041270
