ID,Size Input,Knuth's BST,Bisection heuristic BST,Perfectly Balanced BST
1,1,5525,5525,5525
2,2,12914,12914,18343
3,3,32508,32508,36157
4,4,16921,16921,31016
5,5,80170,85419,85532
6,6,112068,113279,112068
7,7,83666,83666,83666
8,8,94840,94840,101081
9,9,92963,96690,104540
10,10,171492,171492,187673
11,11,180043,186473,189299
12,12,160910,162367,204359
13,13,165428,165428,189117
14,14,138587,145836,167463
15,15,153245,168296,170882
16,16,228663,228663,268428
17,17,286541,301773,329833
18,18,275527,277573,297703
19,19,350503,365825,392647
20,20,362105,367104,393423
21,21,346836,352596,379023
22,22,473554,489822,542237
23,23,439913,456651,474441
24,24,499710,508849,554291
25,25,443679,465118,532020
26,26,455271,455271,532136
27,27,431682,432900,476765
28,28,683575,706613,761604
29,29,564728,601544,638577
30,30,523962,552955,604563
31,31,623622,633932,737213
32,32,655191,663226,699962
33,33,614301,634835,648916
34,34,639294,657813,716848
35,35,695335,728457,758464
36,36,772632,818687,849914
37,37,749984,805782,828851
38,38,781842,816322,846875
39,39,770448,809032,889568
40,40,811965,822111,925292
41,41,820214,843753,952293
42,42,814419,860295,952532
43,43,988101,1001035,1086835
44,44,829888,861123,967251
45,45,929783,954771,1023441
46,46,1090112,1109918,1201985
47,47,1076890,1097671,1190268
48,48,984168,1045733,1131477
49,49,1091097,1137564,1163871
50,50,1156442,1188438,1260432
51,51,1083323,1107895,1194821
52,52,969321,1041878,1089026
53,53,1085330,1107631,1212662
54,54,1258242,1277184,1418975
55,55,1090158,1108741,1243376
56,56,1182392,1221791,1351382
57,57,1285622,1317709,1409869
58,58,1342711,1385502,1433374
59,59,1358853,1377430,1519725
60,60,1551628,1573279,1676411
61,61,1536185,1581158,1718504
62,62,1489513,1519258,1570921
63,63,1405234,1435007,1543934
64,64,1576801,1622700,1700976
65,65,1574313,1632956,1665850
66,66,1703740,1767313,1859179
67,67,1713859,1764854,1861393
68,68,1637007,1669082,1773985
69,69,1507428,1533520,1667471
70,70,1773912,1834287,1906815
71,71,1595749,1669016,1803640
72,72,1884685,1963129,2039946
73,73,1788652,1822998,1953052
74,74,1821641,1873492,1990892
75,75,1927372,2002041,2105095
76,76,1688444,1743405,1885132
77,77,1882245,1932467,2106502
78,78,1929315,2011408,2121043
79,79,1891440,1924647,2170249
80,80,1708177,1757333,1937833
81,81,1805209,1901437,2116887
82,82,2184297,2253935,2387330
83,83,2045525,2127073,2247841
84,84,1999825,2035039,2212935
85,85,2241475,2292988,2413462
86,86,2188735,2276242,2443650
87,87,2127581,2171912,2342868
88,88,2136387,2197094,2364172
89,89,2228524,2287172,2479371
90,90,2354602,2424134,2619140
91,91,2381151,2423693,2605642
